timestamp,prompt_version,prompt_hash,ocr_model,language_model,n_redacoes,mae_total,mae_c1,mae_c2,mae_c3,mae_c4,mae_c5,pearson_total,acertos_exatos,taxa_acerto_pct,acerto_faixa_pct,avg_t_ocr_s,avg_t_correcao_s,custo_total_usd,avg_custo_usd,total_tokens_in,total_tokens_out
2026-04-26 14:50:56,v1.0-ocr-py-full,3a33b824,gemini-2.5-flash,gemini-2.5-flash,15,152.0,50.67,29.33,32.0,32.0,21.33,0.9402,0,0.0,40.0,3.91,14.91,0.0179,0.0012,33488,51454
2026-04-26 15:19:23,v2.0-criterios-oficiais,0e9c4d3c,gemini-2.5-flash,gemini-2.5-flash,15,77.33,45.33,29.33,26.67,16.0,32.0,0.895,3,20.0,73.33,3.59,14.19,0.018,0.0012,41599,49593
2026-04-26 16:12:05,v3.0-criterios-2025,e6a33f24,gemini-2.5-flash,gemini-2.5-flash,15,88.0,48.0,24.0,18.67,16.0,21.33,0.9274,2,13.33,60.0,3.61,14.02,0.0179,0.0012,45262,48375
2026-04-26 17:05:41,v2.1-hibrido,52db84cf,gemini-2.5-flash,gemini-2.5-flash,15,114.67,42.67,34.67,21.33,18.67,16.0,0.8876,2,13.33,53.33,3.98,15.24,0.0189,0.0013,49749,50630
